"employee_id","cost_center","punch_in_time","punch_out_time","punch_apply_date","hours_worked","paycode"
"5012329","18048","14:06:00","16:06:00","2021-04-23","2","WRK"
"1672200","11151",NULL,NULL,"2021-04-24","8","ABSENT"
"4019778","54013",NULL,NULL,"2021-04-24","8","ABSENT"
"4024378","55050",NULL,NULL,"2021-04-24","7","ON_CALL"
"4024378","55050","14:11:00","15:11:00","2021-04-24","1","WRK"
"5001188","54013",NULL,NULL,"2021-04-24","8","ABSENT"
"5001252","53410",NULL,NULL,"2021-04-24","8","ABSENT"
"5005963","51120",NULL,NULL,"2021-04-24","8","ABSENT"
"5010823","53410",NULL,NULL,"2021-04-24","8","ABSENT"
"5010831","55050",NULL,NULL,"2021-04-24","1","CHARGE"
"5010831","55050","14:00:00","19:50:00","2021-04-24","5.8","WRK"
"5010831","55050",NULL,NULL,"2021-04-24","0.8","BREAK"
"5010831","55050","20:36:00","22:00:00","2021-04-24","1.4","WRK"
"5010836","55050",NULL,NULL,"2021-04-24","8","ABSENT"
"5011015","55050",NULL,NULL,"2021-04-24","8","ABSENT"
"5011018","51100",NULL,NULL,"2021-04-24","8","ABSENT"
"5011060","55050",NULL,NULL,"2021-04-24","1","CHARGE"
"5011060","55050","06:11:00","09:42:00","2021-04-24","3.5","WRK"
"5011060","55050",NULL,NULL,"2021-04-24","0.7","BREAK"
"5011060","55050","10:26:00","14:11:00","2021-04-24","3.8","WRK"
"5011105","11151",NULL,NULL,"2021-04-24","8","ABSENT"
"5011110","31288",NULL,NULL,"2021-04-24","8","ABSENT"
"5011147","51120",NULL,NULL,"2021-04-24","5","ON_CALL"
"5011147","51120","14:03:00","17:03:00","2021-04-24","3","WRK"
"5011401","55050",NULL,NULL,"2021-04-24","8","ABSENT"
"5011499","31288",NULL,NULL,"2021-04-24","8","ABSENT"
"5011633","53410","06:17:00","08:49:00","2021-04-24","2.5","WRK"
"5011633","53410",NULL,NULL,"2021-04-24","1","BREAK"
"5011633","53410","09:48:00","14:17:00","2021-04-24","4.5","WRK"
"5012159","51120",NULL,NULL,"2021-04-24","5","ON_CALL"
"5012159","51120","06:10:00","09:10:00","2021-04-24","3","WRK"
"5012163","31288",NULL,NULL,"2021-04-24","8","ABSENT"
"5012165","31288","06:14:00","10:49:00","2021-04-24","4.6","WRK"
"5012165","31288",NULL,NULL,"2021-04-24","1","BREAK"
"5012165","31288","11:49:00","14:14:00","2021-04-24","2.4","WRK"
"5012319","31288",NULL,NULL,"2021-04-24","8","ABSENT"
"5014147","11151",NULL,NULL,"2021-04-24","2","CHARGE"
"5014147","11151","14:07:00","19:55:00","2021-04-24","5.8","WRK"
"5014147","11151",NULL,NULL,"2021-04-24","0.9","BREAK"
"5014147","11151","20:51:00","22:07:00","2021-04-24","1.3","WRK"
"507800","51100","06:02:00","09:51:00","2021-04-24","3.8","WRK"
"507800","51100",NULL,NULL,"2021-04-24","0.7","BREAK"
"507800","51100","10:33:00","14:02:00","2021-04-24","3.5","WRK"
"1377208","53410",NULL,NULL,"2021-04-25","8","ABSENT"
"1672200","11151",NULL,NULL,"2021-04-25","8","ABSENT"
"3974506","31288",NULL,NULL,"2021-04-25","8","ABSENT"
"4019778","54013",NULL,NULL,"2021-04-25","8","ABSENT"
"5001188","54013",NULL,NULL,"2021-04-25","8","ABSENT"
"5001252","53410","14:14:00","17:51:00","2021-04-25","3.6","WRK"
"5001252","53410",NULL,NULL,"2021-04-25","0.8","BREAK"
"5001252","53410","18:40:00","22:14:00","2021-04-25","3.6","WRK"
"5005963","51120",NULL,NULL,"2021-04-25","8","ABSENT"
"5009770","51100",NULL,NULL,"2021-04-25","8","ABSENT"
"5010823","53410",NULL,NULL,"2021-04-25","7","ON_CALL"
"5010823","53410","14:17:00","15:17:00","2021-04-25","1","WRK"
"5010831","55050",NULL,NULL,"2021-04-25","8","ON_CALL"
"5010836","55050",NULL,NULL,"2021-04-25","8","ON_CALL"
"5011015","55050",NULL,NULL,"2021-04-25","8","ABSENT"
"5011018","51100",NULL,NULL,"2021-04-25","8","ABSENT"
"5011060","55050",NULL,NULL,"2021-04-25","8","ABSENT"
"5011105","11151",NULL,NULL,"2021-04-25","8","ABSENT"
"5011110","31288",NULL,NULL,"2021-04-25","8","ABSENT"
"5011499","31288",NULL,NULL,"2021-04-25","8","ABSENT"
"5011633","53410",NULL,NULL,"2021-04-25","7","ON_CALL"
"5011633","53410","06:12:00","07:12:00","2021-04-25","1","WRK"
"5012159","51120",NULL,NULL,"2021-04-25","8","ABSENT"
"5012163","31288",NULL,NULL,"2021-04-25","8","ABSENT"
"5012165","31288",NULL,NULL,"2021-04-25","8","ABSENT"
"5012319","31288","06:17:00","11:58:00","2021-04-25","5.7","WRK"
"5012319","31288",NULL,NULL,"2021-04-25","0.9","BREAK"
"5012319","31288","12:51:00","14:17:00","2021-04-25","1.4","WRK"
"5012329","18048",NULL,NULL,"2021-04-25","8","ABSENT"
"507800","51100",NULL,NULL,"2021-04-25","2","CHARGE"
"507800","51100","14:13:00","18:58:00","2021-04-25","4.8","WRK"
"507800","51100",NULL,NULL,"2021-04-25","1","BREAK"
"507800","51100","19:56:00","22:13:00","2021-04-25","2.3","WRK"
"1977006","54013","14:05:00","19:41:00","2021-04-26","5.6","WRK"
"1977006","54013",NULL,NULL,"2021-04-26","0.6","BREAK"
"1977006","54013","20:14:00","22:05:00","2021-04-26","1.9","WRK"
"4019778","54013",NULL,NULL,"2021-04-26","3","CHARGE"
"4019778","54013","14:06:00","19:41:00","2021-04-26","5.6","WRK"
"4019778","54013",NULL,NULL,"2021-04-26","0.9","BREAK"
"4019778","54013","20:34:00","22:06:00","2021-04-26","1.5","WRK"
"4024378","55050",NULL,NULL,"2021-04-26","8","ABSENT"
"5001188","54013",NULL,NULL,"2021-04-26","5","ON_CALL"
"5001188","54013","14:07:00","17:07:00","2021-04-26","3","WRK"
"5005963","51120",NULL,NULL,"2021-04-26","2","CHARGE"
"5005963","51120","06:05:00","08:50:00","2021-04-26","2.8","WRK"
"5005963","51120",NULL,NULL,"2021-04-26","0.7","BREAK"
"5005963","51120","09:31:00","14:05:00","2021-04-26","4.6","WRK"
"5009770","51100","06:07:00","09:52:00","2021-04-26","3.8","WRK"
"5009770","51100",NULL,NULL,"2021-04-26","0.6","BREAK"
"5009770","51100","10:27:00","14:07:00","2021-04-26","3.7","WRK"
"5010823","53410",NULL,NULL,"2021-04-26","1","CHARGE"
"5010823","53410","14:18:00","20:08:00","2021-04-26","5.8","WRK"
"5010823","53410",NULL,NULL,"2021-04-26","0.6","BREAK"
"5010823","53410","20:45:00","22:18:00","2021-04-26","1.6","WRK"
"5010831","55050",NULL,NULL,"2021-04-26","7","ON_CALL"
"5010831","55050","14:19:00","15:19:00","2021-04-26","1","WRK"
"5010836","55050",NULL,NULL,"2021-04-26","8","ABSENT"
"5011015","55050",NULL,NULL,"2021-04-26","3","CHARGE"
"5011015","55050","14:03:00","19:35:00","2021-04-26","5.5","WRK"
"5011015","55050",NULL,NULL,"2021-04-26","0.9","BREAK"
"5011015","55050","20:27:00","22:03:00","2021-04-26","1.6","WRK"
"5011018","51100",NULL,NULL,"2021-04-26","8","ABSENT"
"5011060","55050",NULL,NULL,"2021-04-26","8","ABSENT"
"5011105","11151",NULL,NULL,"2021-04-26","8","ABSENT"
"5011110","31288",NULL,NULL,"2021-04-26","5","ON_CALL"
"5011110","31288","06:15:00","09:15:00","2021-04-26","3","WRK"
"5011147","51120",NULL,NULL,"2021-04-26","8","ABSENT"
"5011401","55050",NULL,NULL,"2021-04-26","8","ABSENT"
"5011499","31288",NULL,NULL,"2021-04-26","2","CHARGE"
"5011499","31288","14:09:00","18:56:00","2021-04-26","4.8","WRK"
"5011499","31288",NULL,NULL,"2021-04-26","0.5","BREAK"
"5011499","31288","19:28:00","22:09:00","2021-04-26","2.7","WRK"
"5011633","53410",NULL,NULL,"2021-04-26","8","ABSENT"
"5012159","51120","06:16:00","11:54:00","2021-04-26","5.6","WRK"
"5012159","51120",NULL,NULL,"2021-04-26","0.7","BREAK"
"5012159","51120","12:35:00","14:16:00","2021-04-26","1.7","WRK"
"5012163","31288",NULL,NULL,"2021-04-26","2","CHARGE"
"5012163","31288","06:12:00","10:58:00","2021-04-26","4.8","WRK"
"5012163","31288",NULL,NULL,"2021-04-26","0.6","BREAK"
"5012163","31288","11:35:00","14:12:00","2021-04-26","2.6","WRK"
"5012165","31288",NULL,NULL,"2021-04-26","2","CHARGE"
"5012165","31288","06:00:00","09:50:00","2021-04-26","3.8","WRK"
"5012165","31288",NULL,NULL,"2021-04-26","0.9","BREAK"
"5012165","31288","10:45:00","14:00:00","2021-04-26","3.2","WRK"
"5012319","31288",NULL,NULL,"2021-04-26","8","ABSENT"
"5014147","11151",NULL,NULL,"2021-04-26","8","ABSENT"
"507800","51100",NULL,NULL,"2021-04-26","2","CHARGE"
"507800","51100","06:04:00","11:42:00","2021-04-26","5.6","WRK"
"507800","51100",NULL,NULL,"2021-04-26","0.6","BREAK"
"507800","51100","12:20:00","14:04:00","2021-04-26","1.7","WRK"
"1377208","53410",NULL,NULL,"2021-04-27","8","ABSENT"
"1977006","54013",NULL,NULL,"2021-04-27","8","ON_CALL"
"3974506","31288","14:15:00","17:59:00","2021-04-27","3.7","WRK"
"3974506","31288",NULL,NULL,"2021-04-27","0.7","BREAK"
"3974506","31288","18:38:00","22:15:00","2021-04-27","3.6","WRK"
"4019778","54013",NULL,NULL,"2021-04-27","6","ON_CALL"
"4019778","54013","14:10:00","16:10:00","2021-04-27","2","WRK"
"5001188","54013",NULL,NULL,"2021-04-27","6","ON_CALL"
"5001188","54013","14:15:00","16:15:00","2021-04-27","2","WRK"
"5001252","53410",NULL,NULL,"2021-04-27","8","ON_CALL"
"5005963","51120",NULL,NULL,"2021-04-27","8","ABSENT"
"5009770","51100",NULL,NULL,"2021-04-27","2","CHARGE"
"5009770","51100","14:06:00","17:42:00","2021-04-27","3.6","WRK"
"5009770","51100",NULL,NULL,"2021-04-27","0.6","BREAK"
"5009770","51100","18:15:00","22:06:00","2021-04-27","3.9","WRK"
"5010823","53410",NULL,NULL,"2021-04-27","6","ON_CALL"
"5010823","53410","14:00:00","16:00:00","2021-04-27","2","WRK"
"5010831","55050",NULL,NULL,"2021-04-27","7","ON_CALL"
"5010831","55050","14:15:00","15:15:00","2021-04-27","1","WRK"
"5010836","55050","06:19:00","11:54:00","2021-04-27","5.6","WRK"
"5010836","55050",NULL,NULL,"2021-04-27","1","BREAK"
"5010836","55050","12:53:00","14:19:00","2021-04-27","1.4","WRK"
"5011015","55050",NULL,NULL,"2021-04-27","5","ON_CALL"
"5011015","55050","14:12:00","17:12:00","2021-04-27","3","WRK"
"5011018","51100","14:08:00","17:46:00","2021-04-27","3.6","WRK"
"5011018","51100",NULL,NULL,"2021-04-27","0.8","BREAK"
"5011018","51100","18:32:00","22:08:00","2021-04-27","3.6","WRK"
"5011060","55050",NULL,NULL,"2021-04-27","8","ABSENT"
"5011110","31288",NULL,NULL,"2021-04-27","8","ABSENT"
"5011147","51120",NULL,NULL,"2021-04-27","1","CHARGE"
"5011147","51120","06:08:00","11:45:00","2021-04-27","5.6","WRK"
"5011147","51120",NULL,NULL,"2021-04-27","0.5","BREAK"
"5011147","51120","12:17:00","14:08:00","2021-04-27","1.9","WRK"
"5011401","55050",NULL,NULL,"2021-04-27","8","ON_CALL"
"5011633","53410",NULL,NULL,"2021-04-27","8","ABSENT"
"5012159","51120",NULL,NULL,"2021-04-27","1","CHARGE"
"5012159","51120","06:04:00","11:47:00","2021-04-27","5.7","WRK"
"5012159","51120",NULL,NULL,"2021-04-27","0.5","BREAK"
"5012159","51120","12:18:00","14:04:00","2021-04-27","1.8","WRK"
"5012165","31288",NULL,NULL,"2021-04-27","8","ABSENT"
"5012319","31288",NULL,NULL,"2021-04-27","8","ABSENT"
"5012329","18048",NULL,NULL,"2021-04-27","8","ABSENT"
"5014147","11151",NULL,NULL,"2021-04-27","5","ON_CALL"
"5014147","11151","06:15:00","09:15:00","2021-04-27","3","WRK"
"507800","51100",NULL,NULL,"2021-04-27","1","CHARGE"
"507800","51100","06:19:00","10:50:00","2021-04-27","4.5","WRK"
"507800","51100",NULL,NULL,"2021-04-27","0.8","BREAK"
"507800","51100","11:37:00","14:19:00","2021-04-27","2.7","WRK"
"1377208","53410",NULL,NULL,"2021-04-28","8","ON_CALL"
"1977006","54013",NULL,NULL,"2021-04-28","8","ABSENT"
"3974506","31288","14:01:00","16:42:00","2021-04-28","2.7","WRK"
"3974506","31288",NULL,NULL,"2021-04-28","0.8","BREAK"
"3974506","31288","17:29:00","22:01:00","2021-04-28","4.5","WRK"
"4019778","54013",NULL,NULL,"2021-04-28","8","ABSENT"
"4024378","55050",NULL,NULL,"2021-04-28","6","ON_CALL"
"4024378","55050","14:15:00","16:15:00","2021-04-28","2","WRK"
"5001252","53410",NULL,NULL,"2021-04-28","8","ON_CALL"
"5005963","51120",NULL,NULL,"2021-04-28","8","ABSENT"
"5009770","51100",NULL,NULL,"2021-04-28","8","ABSENT"
"5010823","53410","06:10:00","10:43:00","2021-04-28","4.6","WRK"
"5010823","53410",NULL,NULL,"2021-04-28","1","BREAK"
"5010823","53410","11:42:00","14:10:00","2021-04-28","2.5","WRK"
"5010831","55050",NULL,NULL,"2021-04-28","8","ABSENT"
"5011018","51100",NULL,NULL,"2021-04-28","5","ON_CALL"
"5011018","51100","14:06:00","17:06:00","2021-04-28","3","WRK"
"5011060","55050",NULL,NULL,"2021-04-28","7","ON_CALL"
"5011060","55050","06:05:00","07:05:00","2021-04-28","1","WRK"
"5011105","11151","14:16:00","17:51:00","2021-04-28","3.6","WRK"
"5011105","11151",NULL,NULL,"2021-04-28","1","BREAK"
"5011105","11151","18:50:00","22:16:00","2021-04-28","3.4","WRK"
"5011110","31288",NULL,NULL,"2021-04-28","8","ABSENT"
"5011147","51120",NULL,NULL,"2021-04-28","6","ON_CALL"
"5011147","51120","14:07:00","16:07:00","2021-04-28","2","WRK"
"5011401","55050",NULL,NULL,"2021-04-28","8","ABSENT"
"5011499","31288","06:06:00","11:49:00","2021-04-28","5.7","WRK"
"5011499","31288",NULL,NULL,"2021-04-28","0.9","BREAK"
"5011499","31288","12:43:00","14:06:00","2021-04-28","1.4","WRK"
"5011633","53410",NULL,NULL,"2021-04-28","2","CHARGE"
"5011633","53410","14:13:00","19:45:00","2021-04-28","5.5","WRK"
"5011633","53410",NULL,NULL,"2021-04-28","0.8","BREAK"
"5011633","53410","20:35:00","22:13:00","2021-04-28","1.6","WRK"
"5012159","51120",NULL,NULL,"2021-04-28","8","ON_CALL"
"5012163","31288",NULL,NULL,"2021-04-28","8","ABSENT"
"5012165","31288",NULL,NULL,"2021-04-28","5","ON_CALL"
"5012165","31288","14:19:00","17:19:00","2021-04-28","3","WRK"
"5012319","31288",NULL,NULL,"2021-04-28","5","ON_CALL"
"5012319","31288","06:14:00","09:14:00","2021-04-28","3","WRK"
"5012329","18048",NULL,NULL,"2021-04-28","6","ON_CALL"
"5012329","18048","06:18:00","08:18:00","2021-04-28","2","WRK"
"507800","51100",NULL,NULL,"2021-04-28","5","ON_CALL"
"507800","51100","06:06:00","09:06:00","2021-04-28","3","WRK"
"1377208","53410","14:09:00","18:44:00","2021-04-29","4.6","WRK"
"1377208","53410",NULL,NULL,"2021-04-29","0.8","BREAK"
"1377208","53410","19:33:00","22:09:00","2021-04-29","2.6","WRK"
"1672200","11151","06:19:00","09:50:00","2021-04-29","3.5","WRK"
"1672200","11151",NULL,NULL,"2021-04-29","0.7","BREAK"
"1672200","11151","10:33:00","14:19:00","2021-04-29","3.8","WRK"
"1977006","54013",NULL,NULL,"2021-04-29","8","ON_CALL"
"3974506","31288",NULL,NULL,"2021-04-29","5","ON_CALL"
"3974506","31288","06:19:00","09:19:00","2021-04-29","3","WRK"
"4019778","54013","14:14:00","17:58:00","2021-04-29","3.7","WRK"
"4019778","54013",NULL,NULL,"2021-04-29","0.7","BREAK"
"4019778","54013","18:39:00","22:14:00","2021-04-29","3.6","WRK"
"5001188","54013","14:19:00","18:57:00","2021-04-29","4.6","WRK"
"5001188","54013",NULL,NULL,"2021-04-29","0.8","BREAK"
"5001188","54013","19:48:00","22:19:00","2021-04-29","2.5","WRK"
"5001252","53410",NULL,NULL,"2021-04-29","8","ABSENT"
"5005963","51120",NULL,NULL,"2021-04-29","6","ON_CALL"
"5005963","51120","06:02:00","08:02:00","2021-04-29","2","WRK"
"5009770","51100",NULL,NULL,"2021-04-29","1","CHARGE"
"5009770","51100","06:04:00","09:52:00","2021-04-29","3.8","WRK"
"5009770","51100",NULL,NULL,"2021-04-29","0.9","BREAK"
"5009770","51100","10:46:00","14:04:00","2021-04-29","3.3","WRK"
"5010823","53410","06:17:00","08:59:00","2021-04-29","2.7","WRK"
"5010823","53410",NULL,NULL,"2021-04-29","0.9","BREAK"
"5010823","53410","09:53:00","14:17:00","2021-04-29","4.4","WRK"
"5010831","55050",NULL,NULL,"2021-04-29","8","ABSENT"
"5010836","55050",NULL,NULL,"2021-04-29","8","ABSENT"
"5011015","55050",NULL,NULL,"2021-04-29","3","CHARGE"
"5011015","55050","06:00:00","10:46:00","2021-04-29","4.8","WRK"
"5011015","55050",NULL,NULL,"2021-04-29","0.9","BREAK"
"5011015","55050","11:39:00","14:00:00","2021-04-29","2.4","WRK"
"5011060","55050","06:10:00","11:43:00","2021-04-29","5.6","WRK"
"5011060","55050",NULL,NULL,"2021-04-29","0.8","BREAK"
"5011060","55050","12:29:00","14:10:00","2021-04-29","1.7","WRK"
"5011110","31288",NULL,NULL,"2021-04-29","8","ON_CALL"
"5011147","51120",NULL,NULL,"2021-04-29","8","ON_CALL"
"5011401","55050",NULL,NULL,"2021-04-29","8","ABSENT"
"5011499","31288",NULL,NULL,"2021-04-29","6","ON_CALL"
"5011499","31288","06:02:00","08:02:00","2021-04-29","2","WRK"
"5012159","51120",NULL,NULL,"2021-04-29","8","ABSENT"
"5012163","31288",NULL,NULL,"2021-04-29","5","ON_CALL"
"5012163","31288","14:09:00","17:09:00","2021-04-29","3","WRK"
"5012165","31288",NULL,NULL,"2021-04-29","8","ABSENT"
"5012329","18048",NULL,NULL,"2021-04-29","2","CHARGE"
"5012329","18048","14:16:00","17:46:00","2021-04-29","3.5","WRK"
"5012329","18048",NULL,NULL,"2021-04-29","0.8","BREAK"
"5012329","18048","18:32:00","22:16:00","2021-04-29","3.7","WRK"
"5014147","11151",NULL,NULL,"2021-04-29","8","ABSENT"
"507800","51100",NULL,NULL,"2021-04-29","6","ON_CALL"
"507800","51100","14:13:00","16:13:00","2021-04-29","2","WRK"
"1377208","53410","14:02:00","18:36:00","2021-04-30","4.6","WRK"
"1377208","53410",NULL,NULL,"2021-04-30","0.7","BREAK"
"1377208","53410","19:18:00","22:02:00","2021-04-30","2.7","WRK"
"1977006","54013",NULL,NULL,"2021-04-30","8","ABSENT"
"3974506","31288",NULL,NULL,"2021-04-30","3","CHARGE"
"3974506","31288","14:03:00","18:43:00","2021-04-30","4.7","WRK"
"3974506","31288",NULL,NULL,"2021-04-30","1","BREAK"
"3974506","31288","19:43:00","22:03:00","2021-04-30","2.3","WRK"
"4024378","55050",NULL,NULL,"2021-04-30","7","ON_CALL"
"4024378","55050","14:16:00","15:16:00","2021-04-30","1","WRK"
"5001188","54013",NULL,NULL,"2021-04-30","1","CHARGE"
"5001188","54013","06:03:00","11:44:00","2021-04-30","5.7","WRK"
"5001188","54013",NULL,NULL,"2021-04-30","1","BREAK"
"5001188","54013","12:44:00","14:03:00","2021-04-30","1.3","WRK"
"5001252","53410","06:02:00","11:50:00","2021-04-30","5.8","WRK"
"5001252","53410",NULL,NULL,"2021-04-30","0.8","BREAK"
"5001252","53410","12:41:00","14:02:00","2021-04-30","1.4","WRK"
"5005963","51120",NULL,NULL,"2021-04-30","8","ABSENT"
"5009770","51100",NULL,NULL,"2021-04-30","6","ON_CALL"
"5009770","51100","14:09:00","16:09:00","2021-04-30","2","WRK"
"5010823","53410",NULL,NULL,"2021-04-30","8","ABSENT"
"5010831","55050",NULL,NULL,"2021-04-30","8","ABSENT"
"5010836","55050","14:04:00","16:54:00","2021-04-30","2.8","WRK"
"5010836","55050",NULL,NULL,"2021-04-30","0.7","BREAK"
"5010836","55050","17:37:00","22:04:00","2021-04-30","4.5","WRK"
"5011015","55050",NULL,NULL,"2021-04-30","6","ON_CALL"
"5011015","55050","06:01:00","08:01:00","2021-04-30","2","WRK"
"5011018","51100",NULL,NULL,"2021-04-30","8","ABSENT"
"5011060","55050",NULL,NULL,"2021-04-30","8","ON_CALL"
"5011105","11151",NULL,NULL,"2021-04-30","7","ON_CALL"
"5011105","11151","06:03:00","07:03:00","2021-04-30","1","WRK"
"5011110","31288",NULL,NULL,"2021-04-30","7","ON_CALL"
"5011110","31288","06:18:00","07:18:00","2021-04-30","1","WRK"
"5011147","51120",NULL,NULL,"2021-04-30","1","CHARGE"
"5011147","51120","14:18:00","18:01:00","2021-04-30","3.7","WRK"
"5011147","51120",NULL,NULL,"2021-04-30","0.9","BREAK"
"5011147","51120","18:58:00","22:18:00","2021-04-30","3.3","WRK"
"5011633","53410",NULL,NULL,"2021-04-30","8","ABSENT"
"5012159","51120",NULL,NULL,"2021-04-30","8","ABSENT"
"5012163","31288","06:06:00","08:42:00","2021-04-30","2.6","WRK"
"5012163","31288",NULL,NULL,"2021-04-30","0.9","BREAK"
"5012163","31288","09:35:00","14:06:00","2021-04-30","4.5","WRK"
"5012165","31288",NULL,NULL,"2021-04-30","8","ABSENT"
"5012319","31288","06:11:00","11:41:00","2021-04-30","5.5","WRK"
"5012319","31288",NULL,NULL,"2021-04-30","0.7","BREAK"
"5012319","31288","12:23:00","14:11:00","2021-04-30","1.8","WRK"
"5012329","18048",NULL,NULL,"2021-04-30","8","ABSENT"
"5014147","11151",NULL,NULL,"2021-04-30","8","ABSENT"
"1377208","53410",NULL,NULL,"2021-05-01","8","ABSENT"
"1672200","11151",NULL,NULL,"2021-05-01","8","ABSENT"
"1977006","54013","14:15:00","16:46:00","2021-05-01","2.5","WRK"
"1977006","54013",NULL,NULL,"2021-05-01","0.7","BREAK"
"1977006","54013","17:26:00","22:15:00","2021-05-01","4.8","WRK"
"3974506","31288",NULL,NULL,"2021-05-01","8","ABSENT"
"4024378","55050",NULL,NULL,"2021-05-01","8","ABSENT"
"5001188","54013",NULL,NULL,"2021-05-01","1","CHARGE"
"5001188","54013","06:08:00","10:52:00","2021-05-01","4.7","WRK"
"5001188","54013",NULL,NULL,"2021-05-01","0.8","BREAK"
"5001188","54013","11:40:00","14:08:00","2021-05-01","2.5","WRK"
"5001252","53410",NULL,NULL,"2021-05-01","5","ON_CALL"
"5001252","53410","06:12:00","09:12:00","2021-05-01","3","WRK"
"5005963","51120",NULL,NULL,"2021-05-01","8","ABSENT"
"5009770","51100",NULL,NULL,"2021-05-01","8","ON_CALL"
"5010823","53410",NULL,NULL,"2021-05-01","2","CHARGE"
"5010823","53410","14:20:00","17:00:00","2021-05-01","2.7","WRK"
"5010823","53410",NULL,NULL,"2021-05-01","0.6","BREAK"
"5010823","53410","17:34:00","22:20:00","2021-05-01","4.8","WRK"
"5010831","55050",NULL,NULL,"2021-05-01","8","ABSENT"
"5010836","55050",NULL,NULL,"2021-05-01","5","ON_CALL"
"5010836","55050","14:16:00","17:16:00","2021-05-01","3","WRK"
"5011105","11151",NULL,NULL,"2021-05-01","8","ABSENT"
"5011110","31288",NULL,NULL,"2021-05-01","8","ABSENT"
"5011147","51120",NULL,NULL,"2021-05-01","8","ABSENT"
"5011401","55050","14:02:00","16:33:00","2021-05-01","2.5","WRK"
"5011401","55050",NULL,NULL,"2021-05-01","0.7","BREAK"
"5011401","55050","17:14:00","22:02:00","2021-05-01","4.8","WRK"
"5011499","31288",NULL,NULL,"2021-05-01","8","ABSENT"
"5011633","53410",NULL,NULL,"2021-05-01","8","ABSENT"
"5012159","51120",NULL,NULL,"2021-05-01","8","ON_CALL"
"5012163","31288",NULL,NULL,"2021-05-01","8","ABSENT"
"5012165","31288",NULL,NULL,"2021-05-01","8","ABSENT"
"5012319","31288",NULL,NULL,"2021-05-01","8","ABSENT"
"5014147","11151",NULL,NULL,"2021-05-01","8","ABSENT"
